solver,#DV,init_temp,restart_temp,visit,accept,no_local_search,initial_temp,restart_temp_ratio,fun,niter,nfev
-------------------Default Parameters----------------,,,,,,,,,,,
dual_annealing,50,,,2.62,-5,True,5230,2E-05,0.006380450030728,799,3201
-------------------Initial_temp Trials----------------,,,,,,,,,,,
dual_annealing,50,,,2.62,-5,True,10,2E-05,1.2483138851876,61,248
dual_annealing,50,,,2.62,-5,True,1000,2E-05,0.011466849972351,389,1559
dual_annealing,50,,,2.62,-5,True,1500,2E-05,0.027104036777917,534,2141
dual_annealing,50,,,2.62,-5,True,2500,2E-05,0.722110301603839,543,2177
dual_annealing,50,,,2.62,-5,True,3500,2E-05,0.07065800515212,590,2365
dual_annealing,50,,,2.62,-5,True,4000,2E-05,0.08665017814296,541,2169
dual_annealing,50,,,2.62,-5,True,5000,2E-05,0.129976603994917,773,3096
------------------- Restart_temp_ratio Trials----------------,,,,,,,,,,,
dual_annealing,50,,,2.62,-5,True,5230,1E-05,0.006380450030728,799,3201
dual_annealing,50,,,2.62,-5,True,5230,0.001,0.095842548905182,1000,4010
dual_annealing,50,,,2.62,-5,True,5230,0.01,0.098830769471907,1000,4039
dual_annealing,50,,,2.62,-5,True,5230,0.5,0.149824214585273,1000,5000
dual_annealing,50,,,2.62,-5,True,5230,0.75,0.149824214585273,1000,5000
------------------- Visit Trials----------------,,,,,,,,,,,
dual_annealing,50,,,1.5,-5,True,5230,2E-05,0.075908848604595,1000,4001
dual_annealing,50,,,2,-5,True,5230,2E-05,0.050060872892833,1000,4001
dual_annealing,50,,,2.36,-5,True,5230,2E-05,0.026011193287431,1000,4001
------------------- Accept Trials----------------,,,,,,,,,,,
dual_annealing,50,,,2.62,-1E-05,True,5230,2E-05,0.006380450030728,799,3201
dual_annealing,50,,,2.62,-1,True,5230,2E-05,0.006380450030728,799,3201
dual_annealing,50,,,2.62,-2,True,5230,2E-05,0.006380450030728,799,3201
dual_annealing,50,,,2.62,-3,True,5230,2E-05,0.006380450030728,799,3201
------------------- Tolerance Trials----------------,,,,,,,,,,,
dual_annealing,50,,,2.62,-5,True,5230,2E-05,0.069495049125672,223,897
dual_annealing,50,,,2.62,-5,True,5230,2E-05,0.009214866185675,538,2157
dual_annealing,50,,,2.62,-5,True,5230,2E-05,0.006342471820634,1000,4001
dual_annealing,50,,,2.62,-5,True,5230,2E-05,0.006342471820634,1000,4001
dual_annealing,50,,,2.62,-5,True,5230,2E-05,0.006342471820634,1000,4001
-------------------  No Local Search Trials----------------,,,,,,,,,,,
dual_annealing,50,,,2.62,-5,False,5230,2E-05,9.03825434083381E-12,1000,4175
