dv,score
"[-0.99328756  0.99665248  0.9983317   0.99916845  0.99958539  0.99979332
  0.99989691  0.99994874  0.99997457  0.99998715  0.99999331  0.99999608
  0.9999974   0.9999981   0.99999833  0.99999833  0.99999769  0.9999965
  0.99999309  0.9999866 ]",169543.31909292523
"[-4.2225603   0.73626956 -1.90789848  2.53784258 -3.12081736 -1.32422093
  3.22890366  2.04587818 -3.40359755 -2.11232749 -0.6858063  -2.80240606
 -2.80582067 -4.87972928  2.63038822  2.73612237  2.17913588 -1.04780011
 -0.01716177 -4.49879194]",169543.31880410327
"[-4.22256031  0.73626957 -1.90789848  2.53784258 -3.12081736 -1.32422093
  3.22890366  2.04587818 -3.40359755 -2.11232749 -0.6858063  -2.80240606
 -2.80582067 -4.87972928  2.63038822  2.73612237  2.17913588 -1.04780011
 -0.01716177 -4.49879194]",169543.31906594787
"[-4.22256031  0.73626956 -1.90789847  2.53784258 -3.12081736 -1.32422093
  3.22890366  2.04587818 -3.40359755 -2.11232749 -0.6858063  -2.80240606
 -2.80582067 -4.87972928  2.63038822  2.73612237  2.17913588 -1.04780011
 -0.01716177 -4.49879194]",169543.3190795553
"[-4.22256031  0.73626956 -1.90789848  2.53784259 -3.12081736 -1.32422093
  3.22890366  2.04587818 -3.40359755 -2.11232749 -0.6858063  -2.80240606
 -2.80582067 -4.87972928  2.63038822  2.73612237  2.17913588 -1.04780011
 -0.01716177 -4.49879194]",169543.31918781347
"[-4.22256031  0.73626956 -1.90789848  2.53784258 -3.12081735 -1.32422093
  3.22890366  2.04587818 -3.40359755 -2.11232749 -0.6858063  -2.80240606
 -2.80582067 -4.87972928  2.63038822  2.73612237  2.17913588 -1.04780011
 -0.01716177 -4.49879194]",169543.31893560846
"[-4.22256031  0.73626956 -1.90789848  2.53784258 -3.12081736 -1.32422092
  3.22890366  2.04587818 -3.40359755 -2.11232749 -0.6858063  -2.80240606
 -2.80582067 -4.87972928  2.63038822  2.73612237  2.17913588 -1.04780011
 -0.01716177 -4.49879194]",169543.319078566
"[-4.22256031  0.73626956 -1.90789848  2.53784258 -3.12081736 -1.32422093
  3.22890367  2.04587818 -3.40359755 -2.11232749 -0.6858063  -2.80240606
 -2.80582067 -4.87972928  2.63038822  2.73612237  2.17913588 -1.04780011
 -0.01716177 -4.49879194]",169543.3192041526
"[-4.22256031  0.73626956 -1.90789848  2.53784258 -3.12081736 -1.32422093
  3.22890366  2.04587819 -3.40359755 -2.11232749 -0.6858063  -2.80240606
 -2.80582067 -4.87972928  2.63038822  2.73612237  2.17913588 -1.04780011
 -0.01716177 -4.49879194]",169543.31913829272
"[-4.22256031  0.73626956 -1.90789848  2.53784258 -3.12081736 -1.32422093
  3.22890366  2.04587818 -3.40359754 -2.11232749 -0.6858063  -2.80240606
 -2.80582067 -4.87972928  2.63038822  2.73612237  2.17913588 -1.04780011
 -0.01716177 -4.49879194]",169543.3188911851
"[-4.22256031  0.73626956 -1.90789848  2.53784258 -3.12081736 -1.32422093
  3.22890366  2.04587818 -3.40359755 -2.11232748 -0.6858063  -2.80240606
 -2.80582067 -4.87972928  2.63038822  2.73612237  2.17913588 -1.04780011
 -0.01716177 -4.49879194]",169543.31902197457
"[-4.22256031  0.73626956 -1.90789848  2.53784258 -3.12081736 -1.32422093
  3.22890366  2.04587818 -3.40359755 -2.11232749 -0.68580629 -2.80240606
 -2.80582067 -4.87972928  2.63038822  2.73612237  2.17913588 -1.04780011
 -0.01716177 -4.49879194]",169543.3190736182
"[-4.22256031  0.73626956 -1.90789848  2.53784258 -3.12081736 -1.32422093
  3.22890366  2.04587818 -3.40359755 -2.11232749 -0.6858063  -2.80240605
 -2.80582067 -4.87972928  2.63038822  2.73612237  2.17913588 -1.04780011
 -0.01716177 -4.49879194]",169543.31896681697
"[-4.22256031  0.73626956 -1.90789848  2.53784258 -3.12081736 -1.32422093
  3.22890366  2.04587818 -3.40359755 -2.11232749 -0.6858063  -2.80240606
 -2.80582066 -4.87972928  2.63038822  2.73612237  2.17913588 -1.04780011
 -0.01716177 -4.49879194]",169543.31892840719
"[-4.22256031  0.73626956 -1.90789848  2.53784258 -3.12081736 -1.32422093
  3.22890366  2.04587818 -3.40359755 -2.11232749 -0.6858063  -2.80240606
 -2.80582067 -4.87972927  2.63038822  2.73612237  2.17913588 -1.04780011
 -0.01716177 -4.49879194]",169543.3186538655
"[-4.22256031  0.73626956 -1.90789848  2.53784258 -3.12081736 -1.32422093
  3.22890366  2.04587818 -3.40359755 -2.11232749 -0.6858063  -2.80240606
 -2.80582067 -4.87972928  2.63038823  2.73612237  2.17913588 -1.04780011
 -0.01716177 -4.49879194]",169543.31909460487
"[-4.22256031  0.73626956 -1.90789848  2.53784258 -3.12081736 -1.32422093
  3.22890366  2.04587818 -3.40359755 -2.11232749 -0.6858063  -2.80240606
 -2.80582067 -4.87972928  2.63038822  2.73612238  2.17913588 -1.04780011
 -0.01716177 -4.49879194]",169543.31914267925
"[-4.22256031  0.73626956 -1.90789848  2.53784258 -3.12081736 -1.32422093
  3.22890366  2.04587818 -3.40359755 -2.11232749 -0.6858063  -2.80240606
 -2.80582067 -4.87972928  2.63038822  2.73612237  2.17913589 -1.04780011
 -0.01716177 -4.49879194]",169543.31913285924
"[-4.22256031  0.73626956 -1.90789848  2.53784258 -3.12081736 -1.32422093
  3.22890366  2.04587818 -3.40359755 -2.11232749 -0.6858063  -2.80240606
 -2.80582067 -4.87972928  2.63038822  2.73612237  2.17913588 -1.0478001
 -0.01716177 -4.49879194]",169543.319076618
"[-4.22256031  0.73626956 -1.90789848  2.53784258 -3.12081736 -1.32422093
  3.22890366  2.04587818 -3.40359755 -2.11232749 -0.6858063  -2.80240606
 -2.80582067 -4.87972928  2.63038822  2.73612237  2.17913588 -1.04780011
 -0.01716176 -4.49879194]",169543.31909036593
"[-4.22256031  0.73626956 -1.90789848  2.53784258 -3.12081736 -1.32422093
  3.22890366  2.04587818 -3.40359755 -2.11232749 -0.6858063  -2.80240606
 -2.80582067 -4.87972928  2.63038822  2.73612237  2.17913588 -1.04780011
 -0.01716177 -4.49879193]",169543.31908392705
"[-0.99328756  0.99665248  0.9983317   0.99916845  0.99958539  0.99979332
  0.99989691  0.99994874  0.99997457  0.99998715  0.99999331  0.99999608
  0.9999974   0.9999981   0.99999833  0.99999833  0.99999769  0.9999965
  0.99999309  0.9999866 ]",11746269.0
"[10.00000001 10.         10.         -5.         10.         10.
 -5.         -5.         10.         10.         10.         10.
 10.         10.         -5.         -5.         -5.         10.
 10.         10.        ]",11746269.00360018
"[10.         10.00000001 10.         -5.         10.         10.
 -5.         -5.         10.         10.         10.         10.
 10.         10.         -5.         -5.         -5.         10.
 10.         10.        ]",11746269.00342018
"[10.         10.         10.00000001 -5.         10.         10.
 -5.         -5.         10.         10.         10.         10.
 10.         10.         -5.         -5.         -5.         10.
 10.         10.        ]",11746269.00402018
"[10.         10.         10.         -4.99999999 10.         10.
 -5.         -5.         10.         10.         10.         10.
 10.         10.         -5.         -5.         -5.         10.
 10.         10.        ]",11746268.999489881
"[10.         10.         10.         -5.         10.00000001 10.
 -5.         -5.         10.         10.         10.         10.
 10.         10.         -5.         -5.         -5.         10.
 10.         10.        ]",11746269.00357018
"[10.         10.         10.         -5.         10.         10.00000001
 -5.         -5.         10.         10.         10.         10.
 10.         10.         -5.         -5.         -5.         10.
 10.         10.        ]",11746269.00402018
"[10.         10.         10.         -5.         10.         10.
 -4.99999999 -5.         10.         10.         10.         10.
 10.         10.         -5.         -5.         -5.         10.
 10.         10.        ]",11746268.99918988
"[10.         10.         10.         -5.         10.         10.
 -5.         -4.99999999 10.         10.         10.         10.
 10.         10.         -5.         -5.         -5.         10.
 10.         10.        ]",11746268.99963988
"[10.         10.         10.         -5.         10.         10.
 -5.         -5.         10.00000001 10.         10.         10.
 10.         10.         -5.         -5.         -5.         10.
 10.         10.        ]",11746269.00357018
"[10.         10.         10.         -5.         10.         10.
 -5.         -5.         10.         10.00000001 10.         10.
 10.         10.         -5.         -5.         -5.         10.
 10.         10.        ]",11746269.00342018
"[10.         10.         10.         -5.         10.         10.
 -5.         -5.         10.         10.         10.00000001 10.
 10.         10.         -5.         -5.         -5.         10.
 10.         10.        ]",11746269.00342018
"[10.         10.         10.         -5.         10.         10.
 -5.         -5.         10.         10.         10.         10.00000001
 10.         10.         -5.         -5.         -5.         10.
 10.         10.        ]",11746269.00342018
"[10.         10.         10.         -5.         10.         10.
 -5.         -5.         10.         10.         10.         10.
 10.00000001 10.         -5.         -5.         -5.         10.
 10.         10.        ]",11746269.00342018
"[10.         10.         10.         -5.         10.         10.
 -5.         -5.         10.         10.         10.         10.
 10.         10.00000001 -5.         -5.         -5.         10.
 10.         10.        ]",11746269.00402018
"[10.         10.         10.         -5.         10.         10.
 -5.         -5.         10.         10.         10.         10.
 10.         10.         -4.99999999 -5.         -5.         10.
 10.         10.        ]",11746268.99918988
"[10.         10.         10.         -5.         10.         10.
 -5.         -5.         10.         10.         10.         10.
 10.         10.         -5.         -4.99999999 -5.         10.
 10.         10.        ]",11746268.99933988
"[10.         10.         10.         -5.         10.         10.
 -5.         -5.         10.         10.         10.         10.
 10.         10.         -5.         -5.         -4.99999999 10.
 10.         10.        ]",11746268.99963988
"[10.         10.         10.         -5.         10.         10.
 -5.         -5.         10.         10.         10.         10.
 10.         10.         -5.         -5.         -5.         10.00000001
 10.         10.        ]",11746269.00357018
"[10.         10.         10.         -5.         10.         10.
 -5.         -5.         10.         10.         10.         10.
 10.         10.         -5.         -5.         -5.         10.
 10.00000001 10.        ]",11746269.00342018
"[10.         10.         10.         -5.         10.         10.
 -5.         -5.         10.         10.         10.         10.
 10.         10.         -5.         -5.         -5.         10.
 10.         10.00000001]",11746268.99982
"[-0.99328756  0.99665248  0.9983317   0.99916845  0.99958539  0.99979332
  0.99989691  0.99994874  0.99997457  0.99998715  0.99999331  0.99999608
  0.9999974   0.9999981   0.99999833  0.99999833  0.99999769  0.9999965
  0.99999309  0.9999866 ]",17836.946058243193
"[-0.45402893  3.19086691  1.24732027  0.54055126  0.35578677  1.67634162
  1.04850288  0.17894196  0.14793444  1.09705852  2.14559644  0.58982908
  0.58731924 -0.93706879  0.60857522  0.68629314  0.27689056  1.87951962
  2.6370712  -0.65706787]",17836.946063634718
"[-0.45402894  3.19086692  1.24732027  0.54055126  0.35578677  1.67634162
  1.04850288  0.17894196  0.14793444  1.09705852  2.14559644  0.58982908
  0.58731924 -0.93706879  0.60857522  0.68629314  0.27689056  1.87951962
  2.6370712  -0.65706787]",17836.946178289254
"[-0.45402894  3.19086691  1.24732028  0.54055126  0.35578677  1.67634162
  1.04850288  0.17894196  0.14793444  1.09705852  2.14559644  0.58982908
  0.58731924 -0.93706879  0.60857522  0.68629314  0.27689056  1.87951962
  2.6370712  -0.65706787]",17836.946045444918
"[-0.45402894  3.19086691  1.24732027  0.54055127  0.35578677  1.67634162
  1.04850288  0.17894196  0.14793444  1.09705852  2.14559644  0.58982908
  0.58731924 -0.93706879  0.60857522  0.68629314  0.27689056  1.87951962
  2.6370712  -0.65706787]",17836.946056065994
"[-0.45402894  3.19086691  1.24732027  0.54055126  0.35578678  1.67634162
  1.04850288  0.17894196  0.14793444  1.09705852  2.14559644  0.58982908
  0.58731924 -0.93706879  0.60857522  0.68629314  0.27689056  1.87951962
  2.6370712  -0.65706787]",17836.946056151955
"[-0.45402894  3.19086691  1.24732027  0.54055126  0.35578677  1.67634163
  1.04850288  0.17894196  0.14793444  1.09705852  2.14559644  0.58982908
  0.58731924 -0.93706879  0.60857522  0.68629314  0.27689056  1.87951962
  2.6370712  -0.65706787]",17836.94607316853
"[-0.45402894  3.19086691  1.24732027  0.54055126  0.35578677  1.67634162
  1.04850289  0.17894196  0.14793444  1.09705852  2.14559644  0.58982908
  0.58731924 -0.93706879  0.60857522  0.68629314  0.27689056  1.87951962
  2.6370712  -0.65706787]",17836.94605858116
"[-0.45402894  3.19086691  1.24732027  0.54055126  0.35578677  1.67634162
  1.04850288  0.17894197  0.14793444  1.09705852  2.14559644  0.58982908
  0.58731924 -0.93706879  0.60857522  0.68629314  0.27689056  1.87951962
  2.6370712  -0.65706787]",17836.94605630297
"[-0.45402894  3.19086691  1.24732027  0.54055126  0.35578677  1.67634162
  1.04850288  0.17894196  0.14793445  1.09705852  2.14559644  0.58982908
  0.58731924 -0.93706879  0.60857522  0.68629314  0.27689056  1.87951962
  2.6370712  -0.65706787]",17836.94605782176
"[-0.45402894  3.19086691  1.24732027  0.54055126  0.35578677  1.67634162
  1.04850288  0.17894196  0.14793444  1.09705853  2.14559644  0.58982908
  0.58731924 -0.93706879  0.60857522  0.68629314  0.27689056  1.87951962
  2.6370712  -0.65706787]",17836.946056261506
"[-0.45402894  3.19086691  1.24732027  0.54055126  0.35578677  1.67634162
  1.04850288  0.17894196  0.14793444  1.09705852  2.14559645  0.58982908
  0.58731924 -0.93706879  0.60857522  0.68629314  0.27689056  1.87951962
  2.6370712  -0.65706787]",17836.946094597813
"[-0.45402894  3.19086691  1.24732027  0.54055126  0.35578677  1.67634162
  1.04850288  0.17894196  0.14793444  1.09705852  2.14559644  0.58982909
  0.58731924 -0.93706879  0.60857522  0.68629314  0.27689056  1.87951962
  2.6370712  -0.65706787]",17836.946049642607
"[-0.45402894  3.19086691  1.24732027  0.54055126  0.35578677  1.67634162
  1.04850288  0.17894196  0.14793444  1.09705852  2.14559644  0.58982908
  0.58731925 -0.93706879  0.60857522  0.68629314  0.27689056  1.87951962
  2.6370712  -0.65706787]",17836.946061725583
"[-0.45402894  3.19086691  1.24732027  0.54055126  0.35578677  1.67634162
  1.04850288  0.17894196  0.14793444  1.09705852  2.14559644  0.58982908
  0.58731924 -0.93706878  0.60857522  0.68629314  0.27689056  1.87951962
  2.6370712  -0.65706787]",17836.946054630178
"[-0.45402894  3.19086691  1.24732027  0.54055126  0.35578677  1.67634162
  1.04850288  0.17894196  0.14793444  1.09705852  2.14559644  0.58982908
  0.58731924 -0.93706879  0.60857523  0.68629314  0.27689056  1.87951962
  2.6370712  -0.65706787]",17836.946056927252
"[-0.45402894  3.19086691  1.24732027  0.54055126  0.35578677  1.67634162
  1.04850288  0.17894196  0.14793444  1.09705852  2.14559644  0.58982908
  0.58731924 -0.93706879  0.60857522  0.68629315  0.27689056  1.87951962
  2.6370712  -0.65706787]",17836.946059401635
"[-0.45402894  3.19086691  1.24732027  0.54055126  0.35578677  1.67634162
  1.04850288  0.17894196  0.14793444  1.09705852  2.14559644  0.58982908
  0.58731924 -0.93706879  0.60857522  0.68629314  0.27689057  1.87951962
  2.6370712  -0.65706787]",17836.946055843746
"[-0.45402894  3.19086691  1.24732027  0.54055126  0.35578677  1.67634162
  1.04850288  0.17894196  0.14793444  1.09705852  2.14559644  0.58982908
  0.58731924 -0.93706879  0.60857522  0.68629314  0.27689056  1.87951963
  2.6370712  -0.65706787]",17836.946068599096
"[-0.45402894  3.19086691  1.24732027  0.54055126  0.35578677  1.67634162
  1.04850288  0.17894196  0.14793444  1.09705852  2.14559644  0.58982908
  0.58731924 -0.93706879  0.60857522  0.68629314  0.27689056  1.87951962
  2.63707121 -0.65706787]",17836.946136770122
"[-0.45402894  3.19086691  1.24732027  0.54055126  0.35578677  1.67634162
  1.04850288  0.17894196  0.14793444  1.09705852  2.14559644  0.58982908
  0.58731924 -0.93706879  0.60857522  0.68629314  0.27689056  1.87951962
  2.6370712  -0.65706786]",17836.94604302077
"[-0.99328756  0.99665248  0.9983317   0.99916845  0.99958539  0.99979332
  0.99989691  0.99994874  0.99997457  0.99998715  0.99999331  0.99999608
  0.9999974   0.9999981   0.99999833  0.99999833  0.99999769  0.9999965
  0.99999309  0.9999866 ]",1573.1433675807457
"[-0.56808076  1.27861506  1.10535362  0.66512255  0.21146957  1.16349232
  1.13675813  0.34890604  0.02841029  0.87051929  1.35668549  0.50631776
  0.38291984 -0.75333559  0.84170312  0.82686875  0.46395866  1.44105957
  1.25464794 -0.84419504]",1573.1433697214961
"[-0.56808077  1.27861507  1.10535362  0.66512255  0.21146957  1.16349232
  1.13675813  0.34890604  0.02841029  0.87051929  1.35668549  0.50631776
  0.38291984 -0.75333559  0.84170312  0.82686875  0.46395866  1.44105957
  1.25464794 -0.84419504]",1573.143372206238
"[-0.56808077  1.27861506  1.10535363  0.66512255  0.21146957  1.16349232
  1.13675813  0.34890604  0.02841029  0.87051929  1.35668549  0.50631776
  0.38291984 -0.75333559  0.84170312  0.82686875  0.46395866  1.44105957
  1.25464794 -0.84419504]",1573.1433689851783
"[-0.56808077  1.27861506  1.10535362  0.66512256  0.21146957  1.16349232
  1.13675813  0.34890604  0.02841029  0.87051929  1.35668549  0.50631776
  0.38291984 -0.75333559  0.84170312  0.82686875  0.46395866  1.44105957
  1.25464794 -0.84419504]",1573.1433670750362
"[-0.56808077  1.27861506  1.10535362  0.66512255  0.21146958  1.16349232
  1.13675813  0.34890604  0.02841029  0.87051929  1.35668549  0.50631776
  0.38291984 -0.75333559  0.84170312  0.82686875  0.46395866  1.44105957
  1.25464794 -0.84419504]",1573.1433661567926
"[-0.56808077  1.27861506  1.10535362  0.66512255  0.21146957  1.16349233
  1.13675813  0.34890604  0.02841029  0.87051929  1.35668549  0.50631776
  0.38291984 -0.75333559  0.84170312  0.82686875  0.46395866  1.44105957
  1.25464794 -0.84419504]",1573.1433708312693
"[-0.56808077  1.27861506  1.10535362  0.66512255  0.21146957  1.16349232
  1.13675814  0.34890604  0.02841029  0.87051929  1.35668549  0.50631776
  0.38291984 -0.75333559  0.84170312  0.82686875  0.46395866  1.44105957
  1.25464794 -0.84419504]",1573.1433714388434
"[-0.56808077  1.27861506  1.10535362  0.66512255  0.21146957  1.16349232
  1.13675813  0.34890605  0.02841029  0.87051929  1.35668549  0.50631776
  0.38291984 -0.75333559  0.84170312  0.82686875  0.46395866  1.44105957
  1.25464794 -0.84419504]",1573.1433658113447
"[-0.56808077  1.27861506  1.10535362  0.66512255  0.21146957  1.16349232
  1.13675813  0.34890604  0.0284103   0.87051929  1.35668549  0.50631776
  0.38291984 -0.75333559  0.84170312  0.82686875  0.46395866  1.44105957
  1.25464794 -0.84419504]",1573.1433672758285
"[-0.56808077  1.27861506  1.10535362  0.66512255  0.21146957  1.16349232
  1.13675813  0.34890604  0.02841029  0.8705193   1.35668549  0.50631776
  0.38291984 -0.75333559  0.84170312  0.82686875  0.46395866  1.44105957
  1.25464794 -0.84419504]",1573.1433672322282
"[-0.56808077  1.27861506  1.10535362  0.66512255  0.21146957  1.16349232
  1.13675813  0.34890604  0.02841029  0.87051929  1.3566855   0.50631776
  0.38291984 -0.75333559  0.84170312  0.82686875  0.46395866  1.44105957
  1.25464794 -0.84419504]",1573.143376026424
