dv,score
"[-3.04553299  8.18453983  1.19256824  4.35324986 -2.75672223 -2.00748918
  8.86662906 -4.95768271  0.94735974  9.95993991  5.66336021  8.05896892
  9.25997878  9.38829622  8.37928586  3.94743314  7.85525858  5.18165211
  8.55362042  2.85621635]",5010064.598343049
"[ 4.68006803  0.91014084  9.34147351 -2.92114912  4.96887879  5.71811184
  2.01553434  3.19122256  9.09626502  2.68554093  0.37075899  0.78456993
  2.40888406  2.5372015   1.10488687 -2.90366159  0.58085959 -1.66944261
  1.27922145 -4.41818263]",1658484.895709466
"[ 4.68006803  0.91014084  9.34147351 -2.92114912  4.96887879  5.71811184
  2.01553434  3.19122256  9.09626502  2.68554093  0.37075899  0.78456993
  2.40888406  2.5372015   1.10488687 -2.90366159  0.58085959 -1.66944261
  1.27922145 -4.41818263]",1658484.895709466
"[ 6.70901722  7.07300696  0.50433964  3.241717   -3.86825509  7.74706103
  8.17840046  5.22017175 -3.8747858   4.71449012  6.5336251   6.94743605
  8.57175018  8.70006761  7.26775299 -0.8747124   2.60980877  0.35950657
  7.44208756  1.74468349]",2956532.3610198405
"[-1.22397961  9.19207682  2.62340949  5.36078686 -1.74918523 -0.1859358
 -3.88851331 -2.71282508  2.378201   -3.21850672  8.65269497  9.88052229
 -3.49516359 -3.36684615  9.38682286  6.19229077  9.67681194  6.61249337
  9.56115743  3.86375336]",4678494.58611254
"[ 8.39543746  4.36428118 -1.94315705  0.53299122  8.42301913  9.17225219
  5.46967468  6.906592   -2.44959464  6.13968127  3.82489933  4.23871028
  6.1242535   5.99134184  4.55902722  0.55047876  4.03499993  1.78469773
  4.73336179 -3.30211579]",2260867.675678036
"[ 9.15200968 -1.1906695   7.24066317  9.97804053  9.44082044  3.6173015
  6.48747599  7.66316421  6.99545467  0.58473058  4.84270063  5.25651158
  6.88082571  7.00914314  5.57682852  1.56828007 -1.51995076 -3.77025296
 -0.8215889   0.05375902]",3619106.5070868083
"[-1.76404381  3.29757933  2.89736167 -0.53371063 -1.47523305 -0.726
 -4.4285775  -3.25288928  2.65215318  5.07297942  2.75819747  9.3404581
 -4.03522778 -3.90691034  9.66077504 -0.5162231   9.13674775  6.88644555
  9.83510961 -2.03074414]",3599454.3046724494
"[ 0.2026926  -3.56723459  9.34078749 -2.92183515  0.49150336  5.71742582
  2.01484831 -1.28615287  9.09557899 -1.7918345   0.37007296 -3.6928055
 -2.06849137  2.53651547  1.10420085 -2.90434761 -3.89651584 -1.67012864
 -3.19815398 -4.41886865]",1742631.0557943187
"[ 6.89448352 -3.33072722  5.10060545 -0.70673363  7.18329428  7.93252733
  4.22994983  5.40563805 -3.68931949 -1.55532713 -3.87010907  2.99898542
  4.62329955  4.75161698  3.31930237 -0.6892461   2.79527508  9.08968933
 -2.96164661  6.34094932]",1853050.8716269876
"[ 6.47126341  4.01874954 -2.54991779 -1.12995374  8.07748749  8.82672054
  3.80672972  4.98241794 -2.79512628  5.79414963  3.47936769  2.57576531
  5.51749276  5.6458102   2.89608225  0.20494711  2.37205496  1.43916609
  3.07041682 -2.62698725]",1411079.9550940718
"[ 6.47126341  4.01874954 -2.54991779 -1.12995374  8.07748749  8.82672054
  3.80672972  4.98241794 -2.79512628  5.79414963  3.47936769  2.57576531
  5.51749276  5.6458102   2.89608225  0.20494711  2.37205496  1.43916609
  3.07041682 -2.62698725]",1411079.9550940718
"[ 0.59710359  5.57622682 -0.99244051  0.42752353  9.63496476  2.95256072
 -2.0674301   6.53989521  6.3307139   7.3516269   5.03684496 -3.29839451
  7.07497004 -0.22834963 -2.97807757  9.33078729 -3.50210486  2.99664336
  4.6278941  -1.06950998]",2633800.822697852
"[ 8.75791498  6.30540112 -0.26326622  1.15669782 -4.63586095 -3.88662788
  0.76498356  1.94067179 -0.50847471  8.08080119  5.76601925 -0.46598084
  2.4757466   7.93246177  5.18273382 -2.83679904  4.65870653 -1.60258007
  0.02867067 -0.34033568]",1699474.4926199277
"[-1.76573903 -4.2182529   4.21307977  1.71636526 -4.07619351 -3.32696044
 -4.43027272 -3.2545845   0.05119273 -2.44285281  6.32568669  9.33876287
  8.36381176  8.49212921  9.65907981  6.96794467  5.21837397  4.28548509
  5.91673583  4.13601031]",2763028.622662193
"[-2.21686544 -4.66937931  3.76195336 -4.92958374 -0.61064136  5.02709055
 -4.88139913  1.18278795  8.40524372  1.99451964 -0.32026231  8.88763646
  1.71786277  1.8461802  -0.90354774 -3.59468288  8.68392611  7.75103723
 -0.72921317  8.57338276]",2207598.006675555
"[-0.37023367 -2.82274754  9.30744546 -4.2725905   4.93485074  1.98522346
 -3.03476736  1.83978119  5.36337664 -1.04734745 -3.36212939 -0.56687144
  2.37485601  2.50317344 -3.94541483 -2.93768964 -0.77058179  9.59766901
 -0.07221993  9.230376  ]",1932475.8580436497
"[-0.20651221 -4.51523861  5.77230659  7.19227064 -0.45650066  2.14894491
 -4.72725843 -1.69535768  3.67088557 -2.73983852 -3.19840793 -4.10201031
 -3.01649539 -1.03196542  9.3620941   8.52717149 -4.30572066  7.90517794
  9.53642868  3.8390246 ]",2815981.36147032
"[ 3.86001574  1.40750187  6.44036211 -3.74120141  5.46623982  6.21547287
 -2.20299038  2.37117027  6.19515362 -0.21557047 -2.53035241 -0.03548236
 -0.49222734  3.03456253 -3.11363785 -2.40630056 -3.63766513 -4.57055401
 -2.93930328  9.76176508]",737507.8404157344
"[ 3.86001574  1.40750187  6.44036211 -3.74120141  5.46623982  6.21547287
 -2.20299038  2.37117027  6.19515362 -0.21557047 -2.53035241 -0.03548236
 -0.49222734  3.03456253 -3.11363785 -2.40630056 -3.63766513 -4.57055401
 -2.93930328  9.76176508]",737507.8404157344
"[-2.45133099 -4.90384486  0.12901538 -0.72943307  8.47800817 -0.09587386
  6.48566289  5.38293861  9.20692196  2.79619788  0.48141593  8.65317091
  8.19642593 -3.2767842  -0.10186951  6.28235271 -0.6258968  -1.55878568
  0.07246506  1.31470589]",2574729.2671475066
"[ 5.28172277  2.82920891 -1.2690828  -2.31949438  6.88794686  7.63717991
  5.08756471  9.66172536  7.61686065  7.07498461 -1.10864538  1.38622468
  0.9294797   4.45626956 -1.69193081 -0.98459352  3.65288995 -3.14884698
 -1.51759624 -3.81652788]",1892094.2495826103
"[-2.93109316  9.61639298 -0.35074678  4.46768969  7.28431229 -0.57563601
 -0.38491791 -4.41993862 -0.59595527  7.99332064  5.67853869  8.17340875
  7.71666377  4.85263499  5.09525326 -0.58822809 -1.81959267  3.6383371
 -1.12123081  2.97065619]",2387373.1867486616
"[ 5.23715364  2.78463977  3.54311401 -2.36406351  6.84337772  7.59261077
 -0.82585248 -0.52607784  3.29790551 -3.11281858  9.57239948  1.34165554
 -3.38947545  4.41170043 -1.73649995 -1.02916266  8.46508676 -3.19341611
  9.16344862  6.86451697]",2631690.8804649618
"[ 9.44352150e-03  1.40750187e+00  6.44036211e+00 -3.74120141e+00
  5.46623982e+00  6.21547287e+00 -2.20299038e+00  2.37117027e+00
  6.19515362e+00 -2.15570468e-01 -2.53035241e+00 -3.54823582e-02
 -4.92227338e-01  3.03456253e+00 -3.11363785e+00 -2.40630056e+00
 -3.63766513e+00 -4.57055401e+00 -2.93930328e+00  9.76176508e+00]",719494.7239199512
"[ 9.44352150e-03  1.40750187e+00  6.44036211e+00 -3.74120141e+00
  5.46623982e+00  6.21547287e+00 -2.20299038e+00  2.37117027e+00
  6.19515362e+00 -2.15570468e-01 -2.53035241e+00 -3.54823582e-02
 -4.92227338e-01  3.03456253e+00 -3.11363785e+00 -2.40630056e+00
 -3.63766513e+00 -4.57055401e+00 -2.93930328e+00  9.76176508e+00]",719494.7239199512
"[ 9.44352150e-03 -8.84203956e-01  6.44036211e+00 -3.74120141e+00
  5.46623982e+00  6.21547287e+00 -2.20299038e+00  2.37117027e+00
  6.19515362e+00 -2.15570468e-01 -2.53035241e+00 -3.54823582e-02
 -4.92227338e-01  3.03456253e+00 -3.11363785e+00 -2.40630056e+00
 -3.63766513e+00 -4.57055401e+00 -2.93930328e+00  9.76176508e+00]",720591.6019894428
"[ 9.44352150e-03  1.40750187e+00  4.10099199e+00 -3.74120141e+00
  5.46623982e+00  6.21547287e+00 -2.20299038e+00  2.37117027e+00
  6.19515362e+00 -2.15570468e-01 -2.53035241e+00 -3.54823582e-02
 -4.92227338e-01  3.03456253e+00 -3.11363785e+00 -2.40630056e+00
 -3.63766513e+00 -4.57055401e+00 -2.93930328e+00  9.76176508e+00]",555724.2429163473
"[ 9.44352150e-03  1.40750187e+00  4.10099199e+00 -3.74120141e+00
  5.46623982e+00  6.21547287e+00 -2.20299038e+00  2.37117027e+00
  6.19515362e+00 -2.15570468e-01 -2.53035241e+00 -3.54823582e-02
 -4.92227338e-01  3.03456253e+00 -3.11363785e+00 -2.40630056e+00
 -3.63766513e+00 -4.57055401e+00 -2.93930328e+00  9.76176508e+00]",555724.2429163473
